Name,Slice,Inner Major Axis,Inner Minor Axis,Outer Major Axis,Outer Minor Axis,Notes,"Aspect Ratio, Outer",,Standard Deviation (microns) - Outer Major,Standad Deviation (microns) - Inner Major,Moved,Moved To
rect_000000,3,,,1341,781,Filled,0.582401193139448,,120.545980162481,55.3955473541571,FALSE,
,2,,,1202,884,Moved to 65,0.735440931780366,,,,TRUE,65
,1,,,1046,807,Moved to 42,0.77151051625239,,,,TRUE,42
,0,,,1203,892,Moved to 25,0.741479634247714,,,,TRUE,25
rect_000001,3,1659,1123,3001,2421,moved to 75. note asymmetrical cross section,0.806731089636788,,168.828068361474,90.9995421233902,TRUE,75
,2,2056,1326,3187,2539,"This thing is massive. Question, does the diameter change as you move through it?",0.796673988076561,,,,FALSE,
,1,1528,1061,2834,2381,,0.84015525758645,,,,FALSE,
,0,2057,1786,3183,2570,Possible branching here? Measured smaller of two apparent interiors,0.80741438894125,,,,FALSE,
rect_000003,3,2482,1710,3489,2201,Revisting rect_000002 - way better orientations. Note that the two slice 2 measurements are pretty close but the aspect ratio is .15 different,0.630839782172542,,103.40656007559,138.939735137217,FALSE,
,2,1942,1435,3385,1866,,0.551255539143279,,,,FALSE,
,1,2086,1581,3263,2079,,0.637143732761263,,,,FALSE,
,0,1741,1485,3286,2025,,0.616250760803408,,,,FALSE,
rect_000004,3,,,966,675,Actually bends sharply! Collides with big tube. Saved model. Filled,0.698757763975155,,91.8853452225471,151.940777936668,FALSE,
,2,,,995,837,,0.841206030150754,,,,FALSE,
,1,,,1003,954,,0.951146560319043,,,,FALSE,
,0,,,1169,1022,,0.874251497005988,,,,FALSE,
rect_000005,3,,,1386,1067,Also filled. Clearly dipping.,0.76984126984127,,114.059925770038,101.650955070116,FALSE,
,2,,,1127,1006,,0.892635314995563,,,,FALSE,
,1,,,1180,834,,0.706779661016949,,,,FALSE,
,0,417,261,1277,920,Small opening - asymmetrical tube,0.72043852779953,,,,FALSE,
rect_000006,3,429,211,1100,1003,Moved to 85,0.911818181818182,,63.4402606131679,25.9277843249283,TRUE,85
,2,335,250,1152,1046,Moved to 65,0.907986111111111,,,,TRUE,65
,1,,,1207,1064,Filled,0.88152444076222,,,,FALSE,
,0,,,1245,1046,Moved to 18; filled,0.840160642570281,,,,TRUE,18
rect_000007,3,1816,1507,2629,2134,U shape!,0.811715481171548,,438.695414458217,265.651871189846,FALSE,
