Name,Slice,Inner Major Axis,Inner Minor Axis,Outer Major Axis,Outer Minor Axis,Notes,Moved,Moved To
rect_000000,3,2439,1289,4954,4154,Moved to 82,TRUE,82
rect_000000,2,2397,2356,5270,4158,A great deal of skeltal material or debris around the tube,FALSE,
rect_000000,1,2402,1850,5310,4538,,FALSE,
rect_000000,0,2696,2636,5289,5169,,FALSE,
rect_000002,3,2486,2202,3646,2989,,FALSE,
rect_000002,2,2490,2486,3998,3116,,FALSE,
rect_000002,1,2929,2803,4447,3636,Moved to 30,TRUE,30
rect_000002,0,3061,2819,4366,3863,,FALSE,
rect_000004,3,2372,2077,4215,3696,rect_000003 was not well oriented. Note that this tube bulges and gets fat in certain points. Moved to 75,TRUE,75
rect_000004,2,2544,1735,4171,4127,,FALSE,
rect_000004,1,3199,2396,4349,4160,,FALSE,
rect_000004,0,2929,2911,4582,3903,Moved to 15,TRUE,15
rect_000006,3,2008,1824,2995,2552,Moved to 70,TRUE,70
rect_000006,2,1837,1827,3707,3232,,FALSE,
rect_000006,1,1961,1849,3312,2982,,FALSE,
rect_000006,0,2282,1343,3030,2534,Moved slice 0 to 32,TRUE,32
rect_000007,3,1503,1265,2409,1763,"Another short, sharply dipping fragment",FALSE,
rect_000007,2,1289,1139,2109,1820,,FALSE,
rect_000007,1,1613,1056,2146,1828,,FALSE,
rect_000007,0,1526,1442,2065,2015,,FALSE,
rect_000008,3,627,587,1351,1102,Moved to 75. this tube bends suddenly (much like one seen in I130). Note how much smaller this tube is than others.,TRUE,75
rect_000008,2,767,747,1393,1185,,FALSE,
rect_000008,1,988,808,1610,1316,,FALSE,
rect_000008,0,878,844,1749,1271,Moved to 10,TRUE,10
rect_000010,3,2660,1793,3245,2276,"broken, surrounded by detritus; moved to 75; circle at end",FALSE,
rect_000010,2,2563,2028,3498,2694,moved to 58,TRUE,58
rect_000010,1,2008,1861,3053,2291,Moved to 38.5,TRUE,38.5
rect_000010,0,2011,1630,3228,2208,,FALSE,
rect_000011,3,2346,1317,5240,4707,,FALSE,
rect_000011,2,2248,1672,4515,4168,inferred outer boundary,FALSE,
rect_000011,1,2078,1989,4853,4421,Moved to 50,TRUE,50
rect_000011,0,2500,1663,4592,4066,Moved to 25 - nousy!,TRUE,25
rect_000012,3,1414,930,2219,1872,"Broken shell, so measurements are inferred",FALSE,
rect_000012,2,1069,955,2057,1701,,FALSE,
rect_000012,1,1177,706,1890,1803,,FALSE,
rect_000012,0,894,479,1637,1553,Weird elongated shape -> cut by microbial layer! Saved! ,FALSE,
rect_000013,3,1614,1410,2381,2087,Moved to 95,TRUE,95
rect_000013,2,1483,1473,1947,1757,Moved to 73,TRUE,73
rect_000013,0,1338,1071,1905,1554,Incomplete segmentation; moved to 5,FALSE,
rect_000014,3,707,572,1620,1480,Look at this shape! Asymmetrical! Weirdly closed off - saved,FALSE,
rect_000014,2,869,647,1606,1214,Moved to 70,TRUE,70
rect_000014,1,896,733,1400,1309,,FALSE,
rect_000014,0,1087,937,1682,1411,,FALSE,
rect_000015,3,1911,1790,2570,2356,"Broken, short fragment",FALSE,
rect_000015,2,1803,1666,2382,2160,,FALSE,
